Address,Employment_Status,Rent_vs_Own,Household_Size,Average_Age_of_Residents,Median_Household_Income
62 Academic Crescent,Retired,Own,2,42,26086.25375
55 Blossom Rise,Full-Time,Rent,1,35,57599.94313
104 Mill Street,Full-Time,Rent,6,46,42927.94245
93 George Square,Full-Time,Own,6,47,47680.10089
79 Faculty Court,Full-Time,Own,6,53,46356.53618
71 Butcher’s Row,Full-Time,Own,5,37,45096.59278
94 Merchant Street,Full-Time,Own,4,56,48507.44101
7 Graduation Way,Unemployed,Rent,6,34,11770.05836
14 Castle View,Full-Time,Own,4,30,56863.03374
75 Scholar’s Walk,Unemployed,Rent,4,45,10089.48452
167 Lavender Park,Part-Time,Own,6,59,28791.04884
159 Parliament Street,Full-Time,Own,1,27,48637.60426
60 Exchange Place,Full-Time,Own,6,45,45052.48213
38 Bluebell View,Part-Time,Own,5,44,31892.51016
93 Union Street,Retired,Rent,1,58,22641.66147
173 Varsity Place,Unemployed,Rent,4,27,8445.039572
161 College Road,Unemployed,Rent,5,29,9283.776027
31 Freshers Row,Unemployed,Rent,3,35,9948.353903
134 Victoria Parade,Full-Time,Rent,6,41,54567.16677
33 Varsity Place,Full-Time,Own,6,28,49746.23884
47 Birch Grove,Full-Time,Own,6,32,40695.65217
118 Grand Arcade,Part-Time,Own,5,46,32452.49609
191 George Square,Full-Time,Own,6,56,55481.5358
90 Lecture Hall Lane,Unemployed,Rent,6,51,8412.449586
136 Research Boulevard,Full-Time,Own,6,30,54423.96287
47 Graduation Way,Full-Time,Own,4,55,53135.721
83 College Road,Unemployed,Rent,4,28,9560.982377
4 Research Boulevard,Part-Time,Own,3,54,33556.19274
152 Albert Walk,Full-Time,Rent,2,57,54211.36524
176 Scholar’s Walk,Retired,Rent,1,55,25692.11331
107 Union Street,Full-Time,Rent,4,52,55252.6563
139 School House Lane,Part-Time,Rent,6,49,29231.82186
22 Seminar Terrace,Retired,Rent,1,41,26088.18379
142 Old Forge Lane,Full-Time,Rent,1,55,40817.18493
129 Varsity Place,Unemployed,Rent,1,41,9804.625528
89 Study Mews,Part-Time,Rent,6,34,31260.83862
96 Station Road,Full-Time,Own,6,46,40077.57356
36 Library Lane,Part-Time,Rent,4,55,28763.03542
40 Campus Avenue,Unemployed,Rent,3,54,10136.71048
110 Exam Square,Unemployed,Rent,3,44,9481.9787
73 Exam Square,Unemployed,Rent,5,38,9449.47349
109 Professor’s Close,Full-Time,Own,4,39,57168.72207
185 The Green,Full-Time,Own,1,43,59289.07054
89 Juniper Walk,Full-Time,Own,3,55,41931.7349
137 Horizon Close,Part-Time,Own,6,47,34928.52007
147 College Crescent,Retired,Rent,1,38,23787.17107
136 Scholar’s Walk,Full-Time,Rent,5,46,44756.82141
131 Stable Mews,Full-Time,Rent,5,54,42993.01236
10 Lab Street,Full-Time,Own,5,32,54950.31868
149 Varsity Place,Full-Time,Rent,5,55,54470.27841
78 Stable Mews,Full-Time,Rent,4,40,41894.35512
154 Queen Avenue,Part-Time,Own,5,48,35513.81277
109 Horizon Close,Full-Time,Own,5,45,41449.81633
168 Chancellor Road,Unemployed,Rent,4,32,9987.729528
145 Grand Arcade,Part-Time,Own,3,42,31743.77737
125 Lab Street,Unemployed,Rent,2,30,11552.84805
165 Market Cross Road,Full-Time,Own,5,38,45391.92218
147 Magnolia Row,Part-Time,Own,2,54,27210.66351
148 Seminar Terrace,Full-Time,Own,6,38,55625.3826
27 Dahlia Court,Retired,Own,1,31,24109.87125
4 Study Mews,Unemployed,Rent,2,28,8822.851501
65 The Green,Part-Time,Rent,1,43,24255.98239
42 Ivy Boulevard,Part-Time,Rent,2,49,32949.89213
80 Juniper Walk,Full-Time,Own,5,49,40300.42507
88 Queen Avenue,Part-Time,Rent,6,43,31650.79088
152 Freshers Row,Retired,Own,1,54,24288.63895
